"Time";"Labeling";"Treatment";"N";"mean";"sd";"se"
"15";"L";"C";5;3.25166048249949;0.902451716687743;0.403588676985035
"15";"L";"Fe";4;1.51195765084358;0.63032598569946;0.31516299284973
"15";"L";"P";5;5.75191703489627;1.25371195591937;0.560677031527985
"30";"L";"C";4;3.91633657031512;0.425644699711068;0.212822349855534
"30";"L";"Fe";5;1.86200070585568;0.416530480081494;0.186278093632568
"30";"L";"P";5;5.80110373467566;1.97625236845743;0.883806927313155
"60";"L";"C";5;4.41681527435869;0.62841640414425;0.281036359568505
"60";"L";"Fe";5;2.37988952591312;0.57338746079342;0.256426667956016
"60";"L";"P";5;7.19836803686879;0.853693327492698;0.381783262442332
"120";"L";"C";5;4.01127529291537;0.503990618591501;0.225391456638553
"120";"L";"Fe";5;1.85678812500972;0.552682376619072;0.247167072817277
"120";"L";"P";5;5.85697335087006;2.4350308810788;1.08897891548068
