Time;Treatment;Species_Tissue;Value
7;C;0然_TR;-34.52648115
7;C;0然_TR;-33.99174478
7;C;0然_TR;-35.1210935
7;C;0然_TR;-34.94214543
7;C;0然_TR;-35.41724455
7;C;50然_TR;-30.56810184
7;C;50然_TR;-32.34218527
7;C;50然_TR;-30.31278798
7;C;50然_TR;-32.72905291
7;C;50然_TR;-31.04926411
7;C;500然_TR;-17.88496825
7;C;500然_TR;-24.41342345
7;C;500然_TR;-22.53870904
7;C;500然_TR;-26.69008616
7;C;500然_TR;-15.43790661
7;P;0然_TR;-33.87222498
7;P;0然_TR;-34.90038416
7;P;0然_TR;-34.32107461
7;P;0然_TR;-34.21629525
7;P;0然_TR;-34.73236167
7;P;50然_TR;-28.79298362
7;P;50然_TR;-28.27620974
7;P;50然_TR;-29.45393418
7;P;50然_TR;-26.63047506
7;P;50然_TR;-25.99418578
7;P;500然_TR;-16.66240874
7;P;500然_TR;-18.26785017
7;P;500然_TR;-18.97597677
7;P;500然_TR;-13.07239437
7;P;500然_TR;-16.95786386
7;Fe;0然_TR;-35.13511187
7;Fe;0然_TR;-35.78216719
7;Fe;0然_TR;-35.58755272
7;Fe;0然_TR;-35.84039769
7;Fe;0然_TR;-35.35370859
7;Fe;50然_TR;-31.29451476
7;Fe;50然_TR;-33.48715864
7;Fe;50然_TR;-33.48610853
7;Fe;50然_TR;-33.68039239
7;Fe;50然_TR;-32.40679029
7;Fe;500然_TR;-27.8351513
7;Fe;500然_TR;-30.74630888
7;Fe;500然_TR;-21.42925511
7;Fe;500然_TR;-22.8422444
7;Fe;500然_TR;-21.56741812
10;C;0然_TR;-36.63721882
10;C;0然_TR;-36.51566247
10;C;0然_TR;-36.45715773
10;C;0然_TR;-36.74794943
10;C;0然_TR;-36.85278663
10;C;50然_TR;-28.88325884
10;C;50然_TR;-29.14804
10;C;50然_TR;-24.51389205
10;C;50然_TR;-30.97105974
10;C;50然_TR;-25.49730941
10;C;500然_TR;-16.66889339
10;C;500然_TR;-20.53609059
10;C;500然_TR;-22.12612342
10;C;500然_TR;-23.03350522
10;C;500然_TR;-21.2532688
10;P;0然_TR;-33.95277865
10;P;0然_TR;-34.46909994
10;P;0然_TR;-34.18680774
10;P;0然_TR;-34.77840985
10;P;0然_TR;-34.86246965
10;P;50然_TR;-28.12174838
10;P;50然_TR;-28.58629718
10;P;50然_TR;-26.75668157
10;P;50然_TR;-29.48793018
10;P;50然_TR;-28.00325937
10;P;500然_TR;-13.18592054
10;P;500然_TR;-21.09867243
10;P;500然_TR;-19.04335547
10;P;500然_TR;-12.92019316
10;P;500然_TR;-11.56932164
10;Fe;0然_TR;-37.24345741
10;Fe;0然_TR;-37.15662387
10;Fe;0然_TR;-36.22577981
10;Fe;0然_TR;-36.56277849
10;Fe;0然_TR;-37.1639624
10;Fe;50然_TR;-31.83430266
10;Fe;50然_TR;-33.57155846
10;Fe;50然_TR;-34.08619303
10;Fe;50然_TR;-33.65162738
10;Fe;50然_TR;-31.96051089
10;Fe;500然_TR;-23.5730803
10;Fe;500然_TR;-18.10543602
10;Fe;500然_TR;-24.67400095
10;Fe;500然_TR;-24.47710321
10;Fe;500然_TR;-19.22467836
14;C;0然_TR;-35.84158034
14;C;0然_TR;-35.86887612
14;C;0然_TR;-35.73100328
14;C;0然_TR;-36.35252645
14;C;0然_TR;-36.62736623
14;C;50然_TR;-34.04620986
14;C;50然_TR;-33.53434329
14;C;50然_TR;-34.45992326
14;C;50然_TR;-34.53765064
14;C;50然_TR;-35.18018789
14;C;500然_TR;-31.20086369
14;C;500然_TR;-32.21197836
14;C;500然_TR;-30.59279545
14;C;500然_TR;-30.86955255
14;C;500然_TR;-33.3201007
14;P;0然_TR;-33.4812579
14;P;0然_TR;-32.99121675
14;P;0然_TR;-33.24824537
14;P;0然_TR;-33.67078356
14;P;0然_TR;-35.00036169
14;P;50然_TR;-31.37062919
14;P;50然_TR;-29.74426187
14;P;50然_TR;-31.61234312
14;P;50然_TR;-31.81104231
14;P;50然_TR;-31.92117035
14;P;500然_TR;-27.99618161
14;P;500然_TR;-27.42205467
14;P;500然_TR;-27.31041137
14;P;500然_TR;-29.28588638
14;P;500然_TR;-27.71615237
14;Fe;0然_TR;-37.37460399
14;Fe;0然_TR;-38.0450631
14;Fe;0然_TR;-36.81157976
14;Fe;0然_TR;-37.03274618
14;Fe;0然_TR;-37.65471537
14;Fe;50然_TR;-34.96638594
14;Fe;50然_TR;-35.74333358
14;Fe;50然_TR;-35.89544353
14;Fe;50然_TR;-36.19781603
14;Fe;50然_TR;-35.96809077
14;Fe;500然_TR;-32.82155631
14;Fe;500然_TR;-32.77615146
14;Fe;500然_TR;-35.22331278
14;Fe;500然_TR;-33.05267672
14;Fe;500然_TR;-33.10023459
17;C;0然_TR;-37.19999864
17;C;0然_TR;-37.19834412
17;C;0然_TR;-36.63751563
17;C;0然_TR;-36.54043986
17;C;0然_TR;-37.33596522
17;C;50然_TR;-31.72090644
17;C;50然_TR;-33.26949338
17;C;50然_TR;-32.49275979
17;C;50然_TR;-31.60229484
17;C;50然_TR;-30.79709247
17;C;500然_TR;-16.1392212
17;C;500然_TR;-18.43017629
17;C;500然_TR;-19.47208585
17;C;500然_TR;-11.64109852
17;C;500然_TR;-20.63675031
17;P;0然_TR;-33.69870884
17;P;0然_TR;-33.55179301
17;P;0然_TR;-33.81882588
17;P;0然_TR;-33.06555739
17;P;0然_TR;-34.12705457
17;P;50然_TR;-27.98238142
17;P;50然_TR;-27.94991364
17;P;50然_TR;-28.41847964
17;P;50然_TR;-28.12353638
17;P;50然_TR;-25.93326541
17;P;500然_TR;-10.02433594
17;P;500然_TR;-5.669759455
17;P;500然_TR;-5.675546076
17;P;500然_TR;-8.335675269
17;P;500然_TR;-4.932965037
17;Fe;0然_TR;-37.26177778
17;Fe;0然_TR;-37.58038775
17;Fe;0然_TR;-36.6836159
17;Fe;0然_TR;-37.42210947
17;Fe;0然_TR;-37.03163281
17;Fe;50然_TR;-31.06655863
17;Fe;50然_TR;-34.53647992
17;Fe;50然_TR;-35.00565158
17;Fe;50然_TR;-35.77063912
17;Fe;50然_TR;-35.95939827
17;Fe;500然_TR;-21.84729397
17;Fe;500然_TR;-19.33135869
17;Fe;500然_TR;-27.73384769
17;Fe;500然_TR;-21.94730883
17;Fe;500然_TR;-23.63286103
7;C;0然_TS;-37.02511754
7;C;0然_TS;-36.905269
7;C;0然_TS;-36.67968685
7;C;0然_TS;-37.02438998
7;C;0然_TS;-36.43649138
7;C;50然_TS;-35.82867108
7;C;50然_TS;-35.98874645
7;C;50然_TS;-35.05601547
7;C;50然_TS;-36.58189611
7;C;50然_TS;-36.6156629
7;C;500然_TS;-19.18243089
7;C;500然_TS;-18.81760539
7;C;500然_TS;-13.14994069
7;C;500然_TS;-17.10728309
7;C;500然_TS;-11.67192117
7;P;0然_TS;-35.35972385
7;P;0然_TS;-36.47747459
7;P;0然_TS;-35.90642823
7;P;0然_TS;-35.81300968
7;P;0然_TS;-36.096139
7;P;50然_TS;-35.2581875
7;P;50然_TS;-34.4696715
7;P;50然_TS;-35.86538777
7;P;50然_TS;-35.74255944
7;P;50然_TS;-35.67371145
7;P;500然_TS;-31.44874092
7;P;500然_TS;-25.54582997
7;P;500然_TS;-31.35867554
7;P;500然_TS;-31.09970557
7;P;500然_TS;-27.76675549
7;Fe;0然_TS;-36.45114759
7;Fe;0然_TS;-37.19348615
7;Fe;0然_TS;-36.78277281
7;Fe;0然_TS;-36.85682522
7;Fe;0然_TS;-37.51181133
7;Fe;50然_TS;-36.36374252
7;Fe;50然_TS;-36.76821216
7;Fe;50然_TS;-36.69887633
7;Fe;50然_TS;-36.92686915
7;Fe;50然_TS;-36.67209899
7;Fe;500然_TS;-25.55439885
7;Fe;500然_TS;-23.08874932
7;Fe;500然_TS;-17.84660862
7;Fe;500然_TS;-21.72301722
7;Fe;500然_TS;-25.11227484
10;C;0然_TS;-38.0960882
10;C;0然_TS;-37.71093197
10;C;0然_TS;-37.42635651
10;C;0然_TS;-37.96687255
10;C;0然_TS;-38.13703654
10;C;50然_TS;-38.04359349
10;C;50然_TS;-38.04735909
10;C;50然_TS;-37.63975281
10;C;50然_TS;-37.7210482
10;C;50然_TS;-37.70663567
10;C;500然_TS;-27.3406547
10;C;500然_TS;-25.24624458
10;C;500然_TS;-28.77697009
10;C;500然_TS;-27.65382154
10;C;500然_TS;-31.1592128
10;P;0然_TS;-35.65601578
10;P;0然_TS;-35.95614952
10;P;0然_TS;-35.86183978
10;P;0然_TS;-36.34478055
10;P;0然_TS;-36.15248417
10;P;50然_TS;-35.88758651
10;P;50然_TS;-35.10461103
10;P;50然_TS;-34.63364035
10;P;50然_TS;-36.4853858
10;P;50然_TS;-35.23774472
10;P;500然_TS;-34.88868668
10;P;500然_TS;-34.90922815
10;P;500然_TS;-34.2848556
10;P;500然_TS;-33.60300117
10;P;500然_TS;-34.04797944
10;Fe;0然_TS;-38.08156181
10;Fe;0然_TS;-38.10586657
10;Fe;0然_TS;-37.1283009
10;Fe;0然_TS;-37.63638308
10;Fe;0然_TS;-38.36280213
10;Fe;50然_TS;-37.4665293
10;Fe;50然_TS;-37.53295471
10;Fe;50然_TS;-37.75968336
10;Fe;50然_TS;-37.92810258
10;Fe;50然_TS;-38.18376481
10;Fe;500然_TS;-35.57842004
10;Fe;500然_TS;-35.23830843
10;Fe;500然_TS;-34.28209319
10;Fe;500然_TS;-34.9291199
10;Fe;500然_TS;-31.25586436
14;C;0然_TS;-37.29795701
14;C;0然_TS;-36.49302838
14;C;0然_TS;-36.96406814
14;C;0然_TS;-37.86054762
14;C;0然_TS;-37.89398218
14;C;50然_TS;-37.64639428
14;C;50然_TS;-37.65942972
14;C;50然_TS;-38.03024535
14;C;50然_TS;-37.61178704
14;C;50然_TS;-35.3687115
14;C;500然_TS;-34.71267331
14;C;500然_TS;-31.55211965
14;C;500然_TS;-28.59064547
14;C;500然_TS;-30.58671955
14;C;500然_TS;-34.24644039
14;P;0然_TS;-35.13912343
14;P;0然_TS;-35.19608866
14;P;0然_TS;-34.76531754
14;P;0然_TS;-34.93509814
14;P;0然_TS;-36.37509551
14;P;50然_TS;-34.52507246
14;P;50然_TS;-34.62123015
14;P;50然_TS;-36.48908139
14;P;50然_TS;-35.46464999
14;P;50然_TS;-35.32881778
14;P;500然_TS;-34.46978685
14;P;500然_TS;-34.1516279
14;P;500然_TS;-34.58341982
14;P;500然_TS;-34.10867362
14;P;500然_TS;-33.377584
14;Fe;0然_TS;-38.13744585
14;Fe;0然_TS;-38.05190542
14;Fe;0然_TS;-37.51314634
14;Fe;0然_TS;-36.68624344
14;Fe;0然_TS;-37.81901992
14;Fe;50然_TS;-37.01515075
14;Fe;50然_TS;-38.07632457
14;Fe;50然_TS;-37.84826293
14;Fe;50然_TS;-38.06921536
14;Fe;50然_TS;-37.90315566
14;Fe;500然_TS;-32.96427038
14;Fe;500然_TS;-34.29502575
14;Fe;500然_TS;-31.04240205
14;Fe;500然_TS;-33.89485183
14;Fe;500然_TS;-32.40827595
17;C;0然_TS;-38.79654156
17;C;0然_TS;-38.25140384
17;C;0然_TS;-38.4216689
17;C;0然_TS;-37.5574478
17;C;0然_TS;-38.38998997
17;C;50然_TS;-37.11536634
17;C;50然_TS;-37.67823998
17;C;50然_TS;-36.90898968
17;C;50然_TS;-38.84495719
17;C;50然_TS;-37.93071853
17;C;500然_TS;-35.58846091
17;C;500然_TS;-34.17999085
17;C;500然_TS;-35.29327381
17;C;500然_TS;-34.8221126
17;C;500然_TS;-29.27956819
17;P;0然_TS;-35.6533053
17;P;0然_TS;-34.68770681
17;P;0然_TS;-35.78766672
17;P;0然_TS;-34.26665471
17;P;0然_TS;-35.3909526
17;P;50然_TS;-33.65593841
17;P;50然_TS;-35.93151851
17;P;50然_TS;-34.44065838
17;P;50然_TS;-35.29262033
17;P;50然_TS;-33.70259252
17;P;500然_TS;-30.01560247
17;P;500然_TS;-32.63741233
17;P;500然_TS;-33.85562057
17;P;500然_TS;-32.60498098
17;P;500然_TS;-33.63171863
17;Fe;0然_TS;-38.4449937
17;Fe;0然_TS;-38.16348027
17;Fe;0然_TS;-37.26190077
17;Fe;0然_TS;-37.13389956
17;Fe;0然_TS;-36.77947063
17;Fe;50然_TS;-37.34000185
17;Fe;50然_TS;-35.78065513
17;Fe;50然_TS;-37.6463918
17;Fe;50然_TS;-37.55483399
17;Fe;50然_TS;-37.71626464
17;Fe;500然_TS;-28.75594238
17;Fe;500然_TS;-31.14470035
17;Fe;500然_TS;-32.11728852
17;Fe;500然_TS;-35.33425564
17;Fe;500然_TS;-25.95929611
