Treatment;Length(cm);ProjArea(cm2);SurfArea(cm2);AvgDiam(mm);RootVolume(cm3);Tips;Forks;Crossings
C;703.9287;16.0604;50.4551;0.2282;288;536;3664;1608
C;1085.8387;26.0358;81.7939;0.2398;490;1016;6475;2607
C;799.4779;19.1433;60.1405;0.2394;360;841;3931;1602
C;988.1484;24.4595;76.8418;0.2475;476;719;5623;2371
C;1223.3165;31.5113;98.9957;0.2576;638;1321;6732;2693
C;999.2914;26.6048;83.5814;0.2662;556;954;6863;2565
Fe;535.5054;15.8123;49.6759;0.2953;367;622;2129;648
Fe;851.9255;25.7313;80.8373;0.302;610;1023;3627;1287
Fe;445.2618;14.7391;46.3041;0.331;383;409;2203;620
Fe;675.9789;23.3362;73.3127;0.3452;633;590;3318;929
Fe;813.7578;27.4607;86.2702;0.3375;728;578;4190;1285
P;362.6043;10.2279;32.132;0.2821;227;443;1522;523
P;238.6294;6.5515;20.5823;0.2745;141;298;690;204
P;340.2632;8.3576;26.2561;0.2456;161;281;831;399
P;416.2298;11.0388;34.6794;0.2652;230;404;1472;558
P;335.1904;8.7399;27.4571;0.2607;179;394;816;320
