"metabolite";"Time";"Treatment";"P_Value";"Rho"
"Citrate";15;"C";0.629579804222883;-0.174557209635514
"Citrate";15;"Fe";0.159555947643432;-0.511207720338155
"Citrate";15;"P";0.0254635616832393;-0.730296743340221
"Citrate";30;"C";0.888697453194698;-0.0547722557505166
"Citrate";30;"Fe";0.901205936909349;0.0452555728684665
"Citrate";60;"C";0.901205936909349;-0.0452555728684665
"Citrate";60;"Fe";0.276771473130731;-0.381439828462789
"Citrate";60;"P";0.836627624494491;-0.0751067616198811
"Citrate";120;"C";0.0998696630009896;-0.549531956259951
"Citrate";120;"Fe";0.33243154241313;-0.342649337432675
"Citrate";120;"P";0.792796189507972;-0.0955904238798487
"Hydroxyglutarate";15;"C";0.115545873690515;-0.529423393731722
"Hydroxyglutarate";15;"Fe";0.34708012239835;-0.355983339400925
"Hydroxyglutarate";15;"P";0.317822681698524;0.376572333940075
"Hydroxyglutarate";30;"Fe";0.198671701174244;0.443966833631313
"Hydroxyglutarate";30;"P";0.291468271298959;-0.370822381644839
"Hydroxyglutarate";60;"C";0.36637679951947;-0.320636703245973
"Hydroxyglutarate";60;"Fe";0.52012572767066;-0.231362997807867
"Hydroxyglutarate";60;"P";0.420312285422207;0.287640483761132
"Hydroxyglutarate";120;"C";0.553970853505801;-0.213347700665628
"Hydroxyglutarate";120;"Fe";0.141485745645218;-0.49959672366233
"Hydroxyglutarate";120;"P";0.67225190847117;-0.153385779784962
"Isocitrate";15;"C";0.0490426316833764;-0.648484848484848
"Isocitrate";15;"Fe";0.025490520282187;-0.75
"Isocitrate";15;"P";0.493331128747795;-0.266666666666667
"Isocitrate";30;"C";0.462990520282187;-0.283333333333333
"Isocitrate";30;"Fe";0.232418098250503;-0.418181818181818
"Isocitrate";30;"P";0.0136717821032753;-0.76969696969697
"Isocitrate";60;"C";0.448272158936988;-0.272727272727273
"Isocitrate";60;"Fe";0.12280318761783;-0.527272727272727
"Isocitrate";60;"P";0.918633282432669;-0.0424242424242424
"Isocitrate";120;"C";0.864753528804526;-0.0666666666666667
"Isocitrate";120;"Fe";0.0241945875284697;-0.721212121212121
"Isocitrate";120;"P";0.536688086753551;-0.224242424242424
"Oxoglutarate";15;"C";0.113298067042129;0.539393939393939
"Oxoglutarate";15;"Fe";0.573410348267219;-0.217832459454868
"Oxoglutarate";15;"P";0.0107694003527337;0.816666666666667
"Oxoglutarate";30;"C";0.0760361552028219;0.633333333333333
"Oxoglutarate";30;"Fe";0.749481376511606;0.116074086139816
"Oxoglutarate";30;"P";0.178219329270541;0.466666666666667
"Oxoglutarate";60;"C";0.0350915379341639;0.684848484848485
"Oxoglutarate";60;"Fe";0.213124726760704;-0.431460725641698
"Oxoglutarate";60;"P";0;0.975757575757576
"Oxoglutarate";120;"C";0.000466722165549449;0.915151515151515
"Oxoglutarate";120;"Fe";0.0228704477532659;-0.704693920380407
"Oxoglutarate";120;"P";0.00350474436797716;0.854545454545454
