Parameter;Treatment;N;mean;sd;se
1;Length.cm.;C;6;966.666933333333;188.986915630756;77.1535852262946
2;Length.cm.;Fe;5;664.48588;174.816309470704;78.1802303104269
3;Length.cm.;P;5;338.58342;64.4420347343409;28.8193540548778
4;ProjArea.cm2.;C;6;23.9691833333333;5.55300491028656;2.26700476156193
5;ProjArea.cm2.;Fe;5;21.41592;5.80581233523785;2.59643820923973
6;ProjArea.cm2.;P;5;8.98314;1.74201783659066;0.779054060126767
7;SurfArea.cm2.;C;6;75.3014;17.4453154365291;7.12202020356584
8;SurfArea.cm2.;Fe;5;67.28004;18.2394782424827;8.15694264486394
9;SurfArea.cm2.;P;5;28.22138;5.47268132975053;2.44745749450322
10;AvgDiam.mm.;C;6;0.24645;0.0137293481272783;0.0056049829021446
11;AvgDiam.mm.;Fe;5;0.3222;0.022204616637087;0.00993020644296986
12;AvgDiam.mm.;P;5;0.26562;0.0139250493715462;0.00622747139696362
13;RootVolume.cm3.;C;6;468;127.480194540172;52.0435714890258
14;RootVolume.cm3.;Fe;5;544.2;160.765978988093;71.8967314973358
15;RootVolume.cm3.;P;5;187.6;39.6963474390277;17.7527462664231
16;Tips;C;6;897.833333333333;269.192434267137;109.897351095364
17;Tips;Fe;5;644.4;227.278023574652;101.641822100944
18;Tips;P;5;364;70.6859250487677;31.6117066922999
19;Forks;C;6;5548;1425.49500174501;581.955897527181
20;Forks;Fe;5;3093.4;902.854528703268;403.768819994808
21;Forks;P;5;1066.2;397.452135483004;177.745998548491
22;Crossings;C;6;2241;503.814648457148;205.681468943283
23;Crossings;Fe;5;953.8;326.44555441911;145.990890126747
24;Crossings;P;5;400.8;145.69385711141;65.1562736810508
